GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
positronemissiontomographydemonstratesreduceddopaminetransporterexpressioninpdpatientswithdyskinesia,Positron emission tomography demonstrates reduced dopamine transporter expression in PD patients with dyskinesia,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",petstudyof18f6fluoroldopauptakeinneurolepticandmoodstabilizernaivefirstepisodenonpsychoticmaniaeffectsoftreatmentwithdivalproexsodium,PET study of [<sup>18</sup>F]6-fluoro-L-dopa uptake in neuroleptic and mood-stabilizer-naive first-episode nonpsychotic mania: Effects of treatment with divalproex sodium,"['A. Jon Stoessl', 'Vesna Sossi']",stressimpactssensoryvariabilitythroughcorticalsensoryactivitymotifs,Stress impacts sensory variability through cortical sensory activity motifs,Stress impacts sensory variability through cortical sensory activity motifs,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
mesoscalecorticalcalciumimagingrevealswidespreadsynchronizedinfraslowactivityduringsocialtouchinmice,Mesoscale cortical calcium imaging reveals widespread synchronized infraslow activity during social touch in mice,"['Tim H. Murphy', 'Jeffrey LeDue']",reestablishmentofcorticalmotoroutputmapsandspontaneousfunctionalrecoveryviaspareddorsolaterallyprojectingcorticospinalneuronsafterdorsalcolumnspinalcordinjuryinadultmice,Re-establishment of cortical motor output maps and spontaneous functional recovery via spared dorsolaterally projecting corticospinal neurons after dorsal column spinal cord injury in adult mice,"['Timothy H. Murphy', 'Wolfram G. Tetzlaff']",athreedimensionalvirtualmousegeneratessynthetictrainingdataforbehavioralanalysis,A three-dimensional virtual mouse generates synthetic training data for behavioral analysis,A three-dimensional virtual mouse generates synthetic training data for behavioral analysis,"['Tim H. Murphy', 'Helge Rhodin', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Helge Rhodin', 'Jeffrey M. LeDue']"
aretheregenderrelateddifferencesintheprogressionofparkinsonsdiseasefindingsfromalongitudinalc11dihydrotetrabenazinepetstudy,Are There Gender-Related Differences in the Progression of Parkinson's Disease? Findings from a Longitudinal [C-11](+/-) Dihydrotetrabenazine PET Study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",astickyweightedregressionmodelfortimevaryingrestingstatebrainconnectivityestimation,A sticky weighted regression model for time-varying resting-state brain connectivity estimation,"['Martin McKeown', 'Z. Jane Wang']",removalofhighvoltagebrainstimulationartifactsfromsimultaneouseegrecordings,Removal of high-voltage brain stimulation artifacts from simultaneous EEG recordings,Removal of High-Voltage Brain Stimulation Artifacts from Simultaneous EEG Recordings,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
agingeffectontherateofprogressioninparkinsonsdiseaseafouryearlongitudinalpetstudy,Aging effect on the rate of progression in Parkinson's disease: A fouryear longitudinal PET study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",dynamicbayesiannetworkmodelingoffmriacomparisonofgroupanalysismethods,Dynamic Bayesian network modeling of fMRI: A comparison of group-analysis methods,"['Martin McKeown', 'Z. Jane Wang']",spectralclusteringoffmridatawithinregionsofinterestclarificationofldopaeffectsinparkinsonsdisease,Spectral Clustering of fMRI Data within Regions of Interest: Clarification of L-dopa effects in Parkinson's Disease,Spectral clustering of fMRI data within regions of interest: clarification of L-dopa effects in parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
decreasedactivationinafunctionallyconnectedmotornetworkfollowingmotorsequencelearningaftersubcorticalstroke,Decreased activation in a functionally connected motor network following motor sequence learning after subcortical stroke,"['Lara Boyd', 'Todd S. Woodward']",contrastiveenhanceddomaingeneralizationwithfederatedlearning,Contrastive-enhanced Domain Generalization with Federated Learning,"['Martin McKeown', 'Z. Jane Wang']",anautomatedhomecagesystemtoassesslearningandperformanceofaskilledmotortaskinamousemodelofhuntingtonsdisease,An automated home-cage system to assess learning and performance of a skilled motor task in a mouse model of Huntington’s disease,An automated home-cage system to assess learning and performance of a skilled motor task in a mouse model of huntington’s disease,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
homozygousalphasynucleina53vinfamilialparkinsonsdisease,Homozygous alpha-synuclein a53v in familial parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",relevancenetworkmodelingformuscleassociationpatterninreachingmovements,Relevance network modeling for muscle association pattern in reaching movements,"['Martin McKeown', 'Z. Jane Wang']",positronemissiontomographyinpallidopontonigraldegenerationppndfamilyfrontotemporaldementiawithparkinsonismlinkedtochromosome17andpointmutationintaugene,Positron emission tomography in pallido-ponto-nigral degeneration (PPND) family (frontotemporal dementia with parkinsonism linked to chromosome 17 and point mutation in tau gene),Positron emission tomography in pallido-ponto-nigral degeneration (PPND) family (frontotemporal dementia with parkinsonism linked to chromosome 17 and point mutation in tau gene),"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
effectofdopaminelossandthemetabolite3omethyl18ffluorodopaontherelationbetweenthe18ffluorodopatissueinputuptakerateconstantkoccandthe18f,Effect of Dopamine Loss and the Metabolite 3-O-Methyl-[18F]Fluoro-dopa on the Relation between the 18F-Fluorodopa Tissue Input Uptake Rate Constant Kocc and the [18F …,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",corrigendumtoevaluationofthewistarkyotoratmodelofdepressionandtheroleofsynapticplasticityindepressionandantidepressantresponseneuroscibiobehavrev1052019123neuroscienceandbiobehavioralreviews2019105123s0149763419303483101016jneubiorev201907007,"Corrigendum to “Evaluation of the Wistar-Kyoto rat model of depression and the role of synaptic plasticity in depression and antidepressant response” [Neurosci. Biobehav. Rev. 105 (2019) 1–23] (Neuroscience and Biobehavioral Reviews (2019) 105 (1–23), (S0149763419303483), (10.1016/j.neubiorev.2019.07.007))","['Anthony G. Phillips', 'YuTian Wang']",psychiatricmotorandautonomiceffectsofbifrontalectindepressedparkinsonsdiseasepatients,"Psychiatric, Motor, and Autonomic Effects of Bifrontal ECT in Depressed Parkinson’s Disease Patients","Psychiatric, motor, and autonomic effects of bifrontal ect in depressed parkinson’s disease patients","['Fidel Vila-Rodriguez', 'Silke Appel-Cresswell']","['Fidel Vila-Rodriguez', 'Silke Appel-Cresswell']"
alteredfunctionaltopographyofthestriatuminrestingstatefmriinparkinsonsdisease,Altered functional topography of the striatum in resting state fMRI in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']",localphasetensorfeaturesfor3dultrasoundtostatisticalshapeposespinemodelregistration,Local phase tensor features for 3-D ultrasound to statistical shape+pose spine model registration,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']",corticalfunctionalhyperconnectivityinamousemodelofdepressionandselectivenetworkeffectsofketamine,Cortical functional hyperconnectivity in a mouse model of depression and selective network effects of ketamine,Cortical functional hyperconnectivity in a mouse model of depression and selective network effects of ketamine,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
invivolargescalecorticalmappingusingchannelrhodopsin2stimulationintransgenicmicerevealsasymmetricandreciprocalrelationshipsbetween,In vivo Large-Scale Cortical Mapping Using Channelrhodopsin-2 Stimulation in Transgenic Mice Reveals Asymmetric and Reciprocal Relationships between …,"['Tim H. Murphy', 'Jeffrey LeDue']",emergingneuroimagingtechnologiestowardfuturepersonalizeddiagnosticsprognosistargetedinterventionandethicalchallenges,"Emerging neuroimaging technologies: Toward future personalized diagnostics, prognosis, targeted intervention, and ethical challenges","['Todd Stephen Woodward', 'Vesna Sossi']",front2backsingleview3dshapereconstructionviafronttobackprediction,Front2back: Single view 3d shape reconstruction via front to back prediction,Front2Back: Single View 3D Shape Reconstruction via Front to Back Prediction,"['Leonid Sigal', 'Helge Rhodin']","['Leonid Sigal', 'Helge Rhodin']"
sharelink,Share Link,"['Snutch', 'Rankin Catharine H']",sparsemultivariateautoregressivemarbasedpartialdirectedcoherencepdcforelectroencephalogrameeganalysis,Sparse multivariate autoregressive (MAR)-based partial directed coherence (PDC) for electroencephalogram (EEG) analysis,"['Martin McKeown', 'Z. Jane Wang']",developmentaldecreaseinnmdareceptordesensitizationassociatedwithshifttosynapseandinteractionwithpostsynapticdensity95,Developmental decrease in NMDA receptor desensitization associated with shift to synapse and interaction with postsynaptic density-95,Developmental Decrease in NMDA Receptor Desensitization Associated with Shift to Synapse and Interaction with Postsynaptic Density-95,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
techniqueforquantitativeanalysisofcervicalmyelopathyusingmagneticresonanceimagingposter39,Technique for Quantitative Analysis of Cervical Myelopathy using Magnetic Resonance Imaging: Poster# 39,"['Peter Cripton', 'Wolfram Tetzlaff']",galvanicvestibularstimulationdataanalysisandapplicationsinneurorehabilitation,Galvanic Vestibular Stimulation: Data Analysis and Applications in Neurorehabilitation,"['Martin McKeown', 'Z. Jane Wang']",shrinkagetotaperingestimationoflargecovariancematrices,Shrinkage-to-tapering estimation of large covariance matrices,Shrinkage-to-tapering estimation of large covariance matrices,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
8brainconnectivity,8 Brain Connectivity,"['Martin J. McKeown', 'Z. Jane Wang']",selfsupervised3dhumanposeestimationfromvideo,Self-supervised 3D human pose estimation from video,"['Z. Jane Wang', 'Helge Rhodin']",competitiveinhibitionofnmdareceptormediatedcurrentsbyextracellularcalciumchelators,Competitive Inhibition of NMDA Receptor–Mediated Currents by Extracellular Calcium Chelators,Competitive inhibition of NMDA receptor-mediated currents by extracellular calcium chelators,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
characterizingamurinemodeltodiagnoseandstudyconcomitantspinalcordandbraininjuriesdocooccurringinjuriesaffectdeficits,CHARACTERIZING A MURINE MODEL TO DIAGNOSE AND STUDY CONCOMITANT SPINAL CORD AND BRAIN INJURIES: DO CO-OCCURRING INJURIES AFFECT DEFICITS?,"['Peter Cripton', 'Wolfram Tetzlaff']",assessingfunctionalconnectivityofbrainstemnucleiinfmridata,Assessing functional connectivity of brainstem nuclei in fMRI data,"['Martin McKeown', 'Z. Jane Wang']",irrationalchoiceunderuncertaintycorrelateswithlowerstriatald23receptorbindinginrats,Irrational choice under uncertainty correlates with lower striatal D2/3 receptor binding in rats,Irrational choice under uncertainty correlates with lower striatal D<inf>2/3</inf> receptor binding in rats,"['Catharine A. Winstanley', 'Vesna Sossi']","['Catharine A. Winstanley', 'Vesna Sossi']"
ajournaldevotedtofunctionalneuroanatomyandneuroimaging,A Journal Devoted to Functional Neuroanatomy and Neuroimaging,"['Sophia Frangou', 'Anthony Randal McIntosh']",timevaryingbrainconnectivitymodelingusingfmrisignals,Time varying brain connectivity modeling using FMRI signals,"['Martin McKeown', 'Z. Jane Wang']",anteriorbrainglucosehypometabolismpredatesdementiainprogranulinmutationcarriers,Anterior brain glucose hypometabolism predates dementia in progranulin mutation carriers,Anterior brain glucose hypometabolism predates dementia in progranulin mutation carriers,"['A Jon Stoessl OR jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']","['A. Jon Stoessl', 'Ian Mackenzie', 'Vesna Sossi']"
compensatorymechanismsinthedopaminesystemofpatientswithdominantlyinheritedparkinsonism,Compensatory mechanisms in the dopamine system of patients with dominantly inherited parkinsonism,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",acombinedstaticanddynamicmodelforrestingstatebrainconnectivitynetworks,A Combined Static and Dynamic Model for Resting-State Brain Connectivity Networks,"['Martin McKeown', 'Z. Jane Wang']",trackingprogresstowardagoalincorticostriatalensembles,Tracking progress toward a goal in corticostriatal ensembles,Tracking progress toward a goal in corticostriatal ensembles,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
optogeneticmappingafterstrokerevealsnetworkwidescalingoffunctionalconnectionsandheterogeneousrecoveryoftheperiinfarctdecemberpg164552014,"Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct (December, pg 16455, 2014)","['Tim H. Murphy', 'Jeffrey LeDue']",ablindsourceseparationframeworkformonitoringheartbeatrateusingnanofiberbasedstrainsensors,A Blind Source Separation Framework for Monitoring Heart Beat Rate Using Nanofiber-Based Strain Sensors,"['Z. Jane Wang', 'Peyman Servati']",ssdetectdevelopmentandvalidationofanewstrategyforsourcebasedmorphometryinmultiscannerstudies,SS‐Detect: Development and Validation of a New Strategy for Source‐Based Morphometry in Multiscanner Studies,SS-Detect: Development and Validation of a New Strategy for Source-Based Morphometry in Multiscanner Studies,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
invivomesoscalevoltageimagingofcorticaldynamicsasaplatformforinvestigatingmousemodelsofneurodegenerativeandpsychiatricdisease,"IN VIVO, MESOSCALE VOLTAGE IMAGING OF CORTICAL DYNAMICS AS A PLATFORM FOR INVESTIGATING MOUSE MODELS OF NEURODEGENERATIVE AND PSYCHIATRIC DISEASE","['Tim H. Murphy', 'Yu Tian Wang', 'Jeffrey LeDue']",galvanicvestibularstimulationimprovessubnetworkinteractionsinparkinsonsdisease,Galvanic Vestibular Stimulation Improves Subnetwork Interactions in Parkinson's Disease,"['Martin McKeown', 'Z. Jane Wang']",mappingcorticalmesoscopicnetworksofsinglespikingcorticalorsubcorticalneurons,Mapping cortical mesoscopic networks of single spiking cortical or sub-cortical neurons,Mapping cortical mesoscopic networks of single spiking cortical or sub-cortical neurons,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
effectofexerciseonbrainmetabolismandenergeticsinpd,Effect of exercise on brain metabolism and energetics in PD,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",awindowedeigenspectrummethodformultivariatesemgclassificationduringreachingmovements,A windowed eigenspectrum method for multivariate sEMG classification during reaching movements,"['Martin McKeown', 'Z. Jane Wang']",greateractivationofsecondarymotorareasisrelatedtolessarmuseafterstroke,Greater activation of secondary motor areas is related to less arm use after stroke,Greater Activation of Secondary Motor Areas Is Related to Less Arm Use After Stroke,"['Lara Boyd', 'Martin J. McKeown']","['Lara A. Boyd', 'Martin McKeown']"
nucleusaccumbenslongtermdepressionandtheexpressionofbehavioralsensitization,Nucleus accumbens long-term depression and the expression of behavioral sensitization,"['Anthony Phillips', 'Yu Tian Wang']",facilitatedextinctionofmorphineconditionedplacepreferencewithtatglua23yinterferencepeptide,Facilitated extinction of morphine conditioned place preference with Tat-GluA2<inf>3Y</inf> interference peptide,"['Anthony G. Phillips', 'YuTian Wang']",dopaminetransporterrelationtolevodopaderivedsynapticdopamineinaratmodelofparkinsonsaninvivoimagingstudy,Dopamine transporter relation to levodopa‐derived synaptic dopamine in a rat model of Parkinson’s: an in vivo imaging study,Dopamine transporter relation to levodopa-derived synaptic dopamine in a rat model of Parkinson's: An in vivo imaging study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
brainpericytesandperivascularfibroblastsarestromalprogenitorsthatcoordinatecerebrovascularregenerationafterstroke,Brain pericytes and perivascular fibroblasts are stromal progenitors that coordinate cerebrovascular regeneration after stroke,"['Brian MacVicar', 'Fabio MV Rossi']",preface,Preface,"['Z. Jane Wang', 'Liisa A. M. Galea', 'Brian Fisher', 'Purang Abolmaesumi']",parcellationoffunctionalsubregionsfromfmriagraphclusteringbasedapproach,Parcellation of functional sub-regions from fMRI: A graph clustering based approach,Parcellation of functional sub-regions from fMRI: A graph clustering based approach,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
monitoringthefunctionalparcellationandtopographywithmesoscopiccalciumimagingofrestingstatecorticalactivitityinmice,Monitoring the functional parcellation and topography with mesoscopic calcium imaging of resting state cortical activitity in mice,"['Tim H. Murphy', 'Jeffrey LeDue']",theuseofmultivariateemdandccafordenoisingmuscleartifactsfromfewchanneleegrecordings,The Use of Multivariate EMD and CCA for Denoising Muscle Artifacts from Few-Channel EEG Recordings,"['Martin McKeown', 'Z. Jane Wang']",predictivevalueofacuteneuroplasticresponsetortmsintreatmentoutcomeindepressionaconcurrenttmsfmritrial,Predictive value of acute neuroplastic response to rTMS in treatment outcome in depression: a concurrent TMS-fMRI trial,Predictive Value of Acute Neuroplastic Response to rTMS in Treatment Outcome in Depression: A Concurrent TMS-fMRI Trial,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
methodsoftreatingbrainedema,Methods of treating brain edema,"['Brian MacVicar', 'Snutch']",projectionbasedphasefeaturesforlocalizationofaneedletipin2dcurvilinearultrasound,Projection-based phase features for localization of a needle tip in 2D curvilinear ultrasound,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']",optogeneticapproachesforfunctionalmousebrainmapping,Optogenetic approaches for functional mouse brain mapping,Optogenetic approaches for functional mouse brain mapping,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
glialcelllinederivedneurotrophicfactorgdnfinparkinsonsemergingevidenceofclinicalbenefit,Glial Cell Line-Derived Neurotrophic Factor (GDNF) in Parkinson's: Emerging Evidence of Clinical Benefit,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",fmrigroupstudiesofbrainconnectivityviaagrouprobustlasso,FMRI group studies of brain connectivity via a group robust LASSO,"['Martin McKeown', 'Z. Jane Wang']",geneticheterogeneityinparoxysmalnonkinesigenicdyskinesia,Genetic heterogeneity in paroxysmal nonkinesigenic dyskinesia,Genetic heterogeneity in paroxysmal nonkinesigenic dyskinesia,"['A Jon Stoessl OR jon Stoessl', 'Snutch']","['A. Jon Stoessl', 'Terrance P. Snutch']"
apathyinparkinsonsdiseaseisassociatedwithabnormalalphaoscillatorybehaviourduringincentivizedmovement,Apathy in Parkinson's disease is associated with abnormal alpha oscillatory behaviour during incentivized movement,"['Martin J. McKeown', 'Silke Appel-Cresswell']",3dcnnbasedautomaticdiagnosisofattentiondeficithyperactivitydisorderusingfunctionalandstructuralmri,3D CNN Based Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Functional and Structural MRI,"['Martin McKeown', 'Z. Jane Wang']",studyofstrokeconditionandhanddominanceusingahiddenmarkovmultivariateautoregressivehmmmarnetworkframework,"Study of stroke condition and hand dominance using a hidden Markov, multivariate autoregressive (HMM-mAR) network framework","Study of stroke condition and hand dominance using a hidden Markov, multivariate autoregressive (HMM-mAR) network framework","['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
the3rdjointsymposiumoftheinternationalandnationalneurotraumasocietiesandaanscnssectiononneurotraumaandcriticalcareaugust11162018torontocanada,"The 3rd Joint Symposium of the International and National Neurotrauma Societies and AANS/CNS Section on Neurotrauma and Critical Care August 11–16, 2018 Toronto, Canada","['Peter Cripton', 'Wolfram Tetzlaff']",reshapingthepathofmildcognitiveimpairmentbyrefiningexerciseprescriptionastudyprotocolofarandomizedcontrolledtrialtounderstandthewhatforwhomandhowofexercisetopromotecognitivefunction,"Reshaping the path of mild cognitive impairment by refining exercise prescription: a study protocol of a randomized controlled trial to understand the “what,” “for whom,” and “how” of exercise to promote cognitive function","['Lara A. Boyd', 'Liisa A. M. Galea']",dopaminetransporterpetinnormalagingdopaminetransporterdeclineanditspossibleroleinpreservationofmotorfunction,Dopamine transporter PET in normal aging: dopamine transporter decline and its possible role in preservation of motor function,Dopamine transporter PET in normal aging: Dopamine transporter decline and its possible role in preservation of motor function,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
novelspatialanalysismethodforpetdatausing3dmomentinvariantsapplicationstoparkinsonsdisease,Novel spatial analysis method for PET data using 3D moment invariants: applications to Parkinson's disease,"['Martin J. McKeown', 'Silke Appel-Cresswell', 'Vesna Sossi']",invivovoltagesensitivedyeimaginginadultmicerevealsthatsomatosensorymapslosttostrokearereplacedoverweeksbynewstructuralandfunctionalcircuitswithprolongedmodesofactivationwithinboththeperiinfarctzoneanddistantsites,In vivo voltage-sensitive dye imaging in adult mice reveals that somatosensory maps lost to stroke are replaced over weeks by new structural and functional circuits with prolonged modes of activation within both the peri-infarct zone and distant sites,"['Timothy H. Murphy', 'Craig E. Brown']",jointtimeinvariantandtimedependentbrainconnectivitynetworkestimation,Joint time invariant and time dependent brain connectivity network estimation,Joint time invariant and time dependent brain connectivity network estimation,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
galvanicvestibularstimulationdataanalysisandapplicationsinneurorehabilitationsupplementarymaterial,Galvanic Vestibular Stimulation: Data Analysis and Applications in Neurorehabilitation Supplementary Material,"['Martin J. McKeown', 'Z. Jane Wang']",jointblindsourceseparationforneurophysiologicaldataanalysismultisetandmultimodalmethods,Joint Blind Source Separation for Neurophysiological Data Analysis: Multiset and multimodal methods,"['Martin McKeown', 'Z. Jane Wang']",blockofvoltagegatedcalciumchannelsstimulatesdopamineeffluxinratmesocorticolimbicsystem,Block of voltage-gated calcium channels stimulates dopamine efflux in rat mesocorticolimbic system,Block of voltage-gated calcium channels stimulates dopamine efflux in rat mesocorticolimbic system,"['Anthony Phillips', 'Snutch']","['Anthony G. Phillips', 'Terrance P. Snutch']"
ajournaldevotedtofuncঞonalneuroanatomyandneuroimaging,A Journal Devoted to Funcঞonal Neuroanatomy and Neuroimaging,"['Sophia Frangou', 'Anthony Randal McIntosh']",introductiontotheissueonfmrianalysisforhumanbrainmapping,Introduction to the issue on fMRI analysis for human brain mapping,"['Martin McKeown', 'Z. Jane Wang']",systematicphenomicsanalysisofautismassociatedgenesrevealsparallelnetworksunderlyingreversibleimpairmentsinhabituation,Systematic phenomics analysis of autism-associated genes reveals parallel networks underlying reversible impairments in habituation,Systematic phenomics analysis of autism-associated genes reveals parallel networks underlying reversible impairments in habituation,"['Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']","['Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin']"
longitudinalmonitoringofmesoscopiccorticalactivityusingafluorescentbeadmousemodelofsmallvesseldiseaseandgcamp6imaging,Longitudinal monitoring of mesoscopic cortical activity using a fluorescent bead mouse model of small vessel disease and GCaMP6 imaging,"['Tim H. Murphy', 'Jeffrey LeDue']",towardopenworldelectroencephalogramdecodingviadeeplearningacomprehensivesurvey,Toward Open-World Electroencephalogram Decoding Via Deep Learning: A comprehensive survey,"['Martin McKeown', 'Z. Jane Wang']",suei178spatialanalysisofpetimagesusing3dmomentinvariants3dmi,SU‐E‐I‐178: Spatial Analysis of PET Images Using 3D Moment Invariants (3DMI),SU‐E‐I‐178: Spatial Analysis of PET Images Using 3D Moment Invariants (3DMI),"['Martin J. McKeown', 'Vesna Sossi']","['Martin McKeown', 'Vesna Sossi']"
compensatoryremappingoffmrifunctionalconnectivityduringrestingstateinmultiplesclerosis,Compensatory remapping of fMRI functional connectivity during resting state in multiple sclerosis,"['Martin J. McKeown', 'Z. Jane Wang']",mutualinformationbasedrelevancenetworkanalysisaparkinsonsdiseasestudy,Mutual information based relevance network analysis: A Parkinson's disease study,"['Martin McKeown', 'Z. Jane Wang']",controllingthefalsediscoveryrateinmodelingbrainfunctionalconnectivity,Controlling the false discovery rate in modeling brain functional connectivity,Controlling the false discovery rate in modeling brain functional connectivity,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
reduceddorsolateralputaminalconnectivityinrestingstatefmriinparkinsonsdisease,Reduced dorsolateral putaminal connectivity in resting state FMRI in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']",partialdirectedcoherencebasedinformationflowinparkinsonsdiseasepatientsperformingavisuallyguidedmotortask,Partial directed coherence-based information flow in Parkinson's disease patients performing a visually-guided motor task,"['Martin McKeown', 'Z. Jane Wang']",corticalactivitymotifsthatcorrespondtosensorymodalitiesareorganizedwithinlargersuperclusters,Cortical activity motifs that correspond to sensory modalities are organized within larger super-clusters,Cortical activity motifs that correspond to sensory modalities are organized within larger superclusters,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
functionalscreenforsynapticorganizersidentificationoftrkcptpsigmaandslitrkcandidategenesinneuropsychiatricdisorders,"FUNCTIONAL SCREEN FOR SYNAPTIC ORGANIZERS: IDENTIFICATION OF TRKC-PTP sigma AND SLITRK, CANDIDATE GENES IN NEUROPSYCHIATRIC DISORDERS","['Tim H. Murphy', 'Yu Tian Wang']",sterolregulatoryelementbindingprotein1srebp1activationinmotorneuronsinexcitotoxicityandamyotrophiclateralsclerosisalsindipapotentialtherapeuticpeptide,"Sterol regulatory element binding protein-1 (SREBP1) activation in motor neurons in excitotoxicity and amyotrophic lateral sclerosis (ALS): Indip, a potential therapeutic peptide","['YuTian Wang', 'Ian Mackenzie']",differentialregulationofcellproliferationinneurogeniczonesinmicelackingcystinetransportbyxct,Differential regulation of cell proliferation in neurogenic zones in mice lacking cystine transport by xCT,Differential regulation of cell proliferation in neurogenic zones in mice lacking cystine transport by xCT,"['Tim H. Murphy', 'Craig E. Brown']","['Timothy H. Murphy', 'Craig E. Brown']"
theneurosurgicaltreatmentofspasmodicdysphoniainterimresultsofdebussy,The Neurosurgical Treatment of Spasmodic Dysphonia: Interim Results of DEBUSSY.,"['Silke Appel-Cresswell', 'Vesna Sossi']",,,,aframeworkforgroupanalysisoffmridatausingdynamicbayesiannetworks,A framework for group analysis of fMRI data using dynamic Bayesian networks,A framework for group analysis of fMRI data using dynamic Bayesian networks,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
dopaminedeficiencyisassociatedwithriskaversionbutnotlossaversioninparkinsonsdisease,Dopamine deficiency is associated with risk aversion but not loss aversion in Parkinson’s disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']",,,,jointamplitudeandconnectivitycompensatorymechanismsinparkinsonsdisease,Joint amplitude and connectivity compensatory mechanisms in Parkinson's disease,Joint amplitude and connectivity compensatory mechanisms in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
patternsofresponsesonthemontrealcognitiveassessmentinparkinsonsdiseaseassociatedmildcognitiveimpairmentp1044,Patterns of responses on the Montreal Cognitive Assessment in Parkinson’s Disease Associated Mild Cognitive Impairment (P1. 044),"['Martin J. McKeown', 'Z. Jane Wang', 'Silke Appel-Cresswell']",,,,automatedtasktrainingandlongitudinalmonitoringofmousemesoscalecorticalcircuitsusinghomecages,Automated task training and longitudinal monitoring of mouse mesoscale cortical circuits using home cages,Automated task training and longitudinal monitoring of mouse mesoscale cortical circuits using home cages,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
winconcurrentsensorycuescanpromoteriskierchoice,Win-concurrent sensory cues can promote riskier choice,"['A Jon Stoessl OR jon Stoessl', 'Catharine A. Winstanley']",,,,ltdisinvolvedintheformationandmaintenanceofrathippocampalca1placecellfields,LTD is involved in the formation and maintenance of rat hippocampal CA1 place-cell fields,LTD is involved in the formation and maintenance of rat hippocampal CA1 place-cell fields,"['Anthony Phillips', 'Yu Tian Wang', 'Jeremy K Seamans']","['Anthony G. Phillips', 'YuTian Wang', 'Jeremy Keith Seamans']"
