,gs publications,scival publications,GS ONLY publications,SCIVAL ONLY publications,shared publications
105,miRNA and miRNA target genes in copy number variations occurring in individuals with intellectual disability,Application and evaluation of automated semantic annotation of gene expression experiments,,,informatics in neuroscience
106,Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction,Histone Deacetylase Inhibition Elicits an Evolutionarily Conserved Self-Renewal Program in Embryonic Stem Cells,,,kctd8 gene and brain growth in adverse intrauterine environment a genome wide association study
107,Neuron-enriched gene expression patterns are regionally anti-correlated with oligodendrocyte-enriched patterns in the adult mouse and human brain,Integration of neuroimaging and microarray datasets through mapping and model-theoretic semantic decomposition of unstructured phenotypes,,,pitfalls in the application of gene set analysis to genetics studies
108,Outcome of array CGH analysis for 255 subjects with intellectual disability and search for candidate genes using bioinformatics,Gene Ontology term overlap as a measure of gene functional similarity,,,neurocarta aggregating and sharing disease gene relations for the neurosciences
109,A cross-laboratory comparison of expression profiling data from normal human postmortem brain,Altered brain microRNA biogenesis contributes to phenotypic deficits in a 22q11-deletion mouse model,,,synaptic transmission in pair recordings from ca3 pyramidal cells in organotypic culture
110,The Canadian rare diseases models and mechanisms (RDMM) network: connecting understudied genes to model organisms,Transcriptomes in healthy and diseased gingival tissues,,,meta analysis of human methylomes reveals stably methylated sequences surrounding cpg islands associated with high gene expression
111,Informatics in neuroscience,Informatics in neuroscience,,,copy number variants cnvs analysis in a deeply phenotyped cohort of individuals with intellectual disability id
112,Automated recognition of brain region mentions in neuroscience literature,Sharing and reusing gene expression profiling data in neuroscience,,,cortical functional connectivity decodes subconscious task irrelevant threat related emotion processing
113,Automated recognition of brain region mentions in neuroscience literature,β-catenin/TCF/Lef controls a differentiation-associated transcriptional program in renal epithelial progenitors,,,curation of over 10 000 transcriptomic studies to enable data reuse
114,Untangling the effects of cellular composition on coexpression analysis,Periodontal therapy alters gene expression of peripheral blood monocytes,,,guilt by association is not competitive with genetic association for identifying autism risk genes
115,Assessing transcriptome quality in patch-seq datasets,Activation of MAPK in hearts of EMD null mice: Similarities between mouse models of X-linked and autosomal dominant Emery - Dreifuss muscular dystrophy,,,molecular and functional heterogeneity of hyperpolarization activated pacemaker channels in the mouse cns
116,Application and evaluation of automated methods to extract neuroanatomical connectivity statements from free text,Activation of MAPK pathways links LMNA mutations to cardiomyopathy in Emery-Dreifuss muscular dystrophy,,,application and evaluation of automated semantic annotation of gene expression experiments
117,Evaluation of connectivity map shows limited reproducibility in drug repositioning,Akt1 deficiency affects neuronal morphology and predisposes to abnormalities in prefrontal cortex functioning,,,bioinformatic analysis of autism positional candidate genes using biological databases and computational gene network prediction
118,Progress and challenges in the computational prediction of gene function using networks,An ancestral haplotype defines susceptibility to doxorubicin nephropathy in the laboratory mouse,,,a high throughput study of gene expression in preterm labor with a subtractive microarray approach
119,Text mining for neuroanatomy using WhiteText with an updated corpus and a new web application,Zac1 Regulates an Imprinted Gene Network Critically Involved in the Control of Embryonic Growth,,,granulocyte chemotactic protein 2 gcp 2 cxcl6 complements interleukin 8 in periodontal disease
120,Transcriptomic correlates of electrophysiological and morphological diversity within and across excitatory and inhibitory neuron classes,Experimental comparison and cross-validation of the Affymetrix and Illumina gene expression analysis platforms,,,a methodology for the analysis of differential coexpression across the human lifespan
121,Meta‐Analysis of Gene Expression Patterns in Animal Models of Prenatal Alcohol Exposure Suggests Role for Protein Synthesis Inhibition and Chromatin Remodeling,ErmineJ: Tool for functional analysis of gene expression data sets,,,application and evaluation of automated methods to extract neuroanatomical connectivity statements from free text
122,Pitfalls in the application of gene-set analysis to genetics studies,Transcriptional and behavioral interaction between 22q11.2 orthologs modulates schizophrenia-related phenotypes in mice,,,the role of indirect connections in gene networks in predicting function
123,Neurocarta: aggregating and sharing disease-gene relations for the neurosciences,Microarray analysis of gene expression following the formalin test in the infant rat,,,activation of mapk pathways links lmna mutations to cardiomyopathy in emery dreifuss muscular dystrophy
124,A methodology for the analysis of differential coexpression across the human lifespan,Molecular aging in human prefrontal cortex is selective and continuous throughout adult life,,,multi model functionalization of disease associated pten missense mutations identifies multiple molecular mechanisms underlying protein dysfunction
125,Differential coexpression in human tissues and the confounding effect of mean expression levels,A Mendelian locus on chromosome 16 determines susceptibility to doxorubicin nephropathy in the mouse,,,evaluation of connectivity map shows limited reproducibility in drug repositioning
126,Progress and challenges in the computational prediction of gene function using networks: 2012-2013 update,Gene expression in juvenile arthritis and spondyloarthropathy: Pro-angiogenic ELR<sup>+</sup> chemokine genes relate to course of arthritis,,,interactive exploration analysis and visualization of complex phenome genome datasets with aspiredb
127,Sharing and reusing gene expression profiling data in neuroscience,Using the gene ontology for microarray data mining: A comparison of methods and application to age effects in human prefrontal cortex,,,meta analysis of gene coexpression networks in the post mortem prefrontal cortex of patients with schizophrenia and unaffected controls
128,VariCarta: A comprehensive database of harmonized genomic variants found in autism spectrum disorder sequencing studies,Gene expression signatures in chronic and aggressive periodontitis: A pilot study,,,a low affinity cis regulatory bmp response element restricts target gene activation to subsets of drosophila neurons
129,Copy number variants (CNVs) analysis in a deeply phenotyped cohort of individuals with intellectual disability (ID),Coexpresion analysis of human genes across many microarray data sets,,,gingival tissue transcriptomes identify distinct periodontitis phenotypes
130,Whole genome sequencing and variant discovery in the ASPIRE autism spectrum disorder cohort,Altered hippocampal transcript profile accompanies an age-related spatial memory deficit in mice,,,the drosophila easily shocked gene a mutation in a phospholipid synthetic pathway causes seizure neuronal failure and paralysis
131,Using text mining to link journal articles to neuroanatomical databases,Support vector machine classification on the web,,,a p53 regulated apoptotic gene signature predicts treatment response and outcome in pediatric acute lymphoblastic leukemia
132,Modeling sources of interlaboratory variability in electrophysiological properties of mammalian neurons,Gene Expression Profiling of Depression and Suicide in Human Prefrontal Cortex,,,hierarchical model of gene regulation by transforming growth factor β
133,Gist support vector machine and kernel principal components analysis software toolkit,Cluster analysis of genes with significant change in expression in cells conditioned to survive TBOOH,,,linking wikidata to the rest of the semantic web
134,Combining microarray expression data and phylogenetic profiles to learn gene functional categories using support vector machines,Bioinformatic analysis of autism positional candidate genes using biological databases and computational gene network prediction,,,genomic signatures predict migration and spawning failure in wild canadian salmon
135,Curation of over 10 000 transcriptomic studies to enable data reuse,Sex genes for genomic analysis in human brain: Internal controls for comparison of probe level data extraction,,,transcriptomes in healthy and diseased gingival tissues
136,Unpacking the heterogeneity of cognitive functioning in children and adolescents with fetal alcohol spectrum disorder: determining the role of moderators and strengths,Hierarchical model of gene regulation by transforming growth factor β,,,in silico discovery of small molecules for efficient stem cell differentiation into definitive endoderm
137,Expansion of the QARS deficiency phenotype with report of a family with isolated supratentorial brain abnormalities,The effect of replication on gene expression microarray experiments,,,diverse epigenetic strategies interact to control epidermal differentiation
138,Microarray analysis of gene expression following the formalin test in the infant rat,Inducible enhancement of memory storage and synaptic plasticity in transgenic mice expressing an inhibitor of ATF4 (CREB-2) and C/EBP proteins,,,consequences of high temperatures and premature mortality on the transcriptome and blood physiology of wild adult sockeye salmon oncorhynchus nerka
139,Classification of genes using probabilistic models of microarray expression profiles.,Classification and subtype prediction of adult soft tissue sarcoma by functional genomics,,,outcome of array cgh analysis for 255 subjects with intellectual disability and search for candidate genes using bioinformatics
140,Protease-Inhibitor Interaction Predictions: Lessons on the Complexity of Protein–Protein Interactions,Classification of clear-cell sarcoma as a subtype of melanoma by genomic profiling,,,progress and challenges in the computational prediction of gene function using networks 2012 2013 update
141,Application and evaluation of automated semantic annotation of gene expression experiments,Matrix2png: A utility for visualizing matrix data,,,transcriptomic correlates of electrophysiological and morphological diversity within and across excitatory and inhibitory neuron classes
142,Meta-analysis of kindling-induced gene expression changes in the rat hippocampus,Using ANOVA for gene selection from microarray studies of the nervous system,,,profiling placental and fetal dna methylation in human neural tube defects
143,Estimating and correcting for off-target cellular contamination in brain cell type specific RNA-seq data,Differential amplification of gene expression in lens cell lines conditioned to survive peroxide stress,,,periodontal therapy alters gene expression of peripheral blood monocytes
144,"Multi-parametric analysis of 57 SYNGAP1 variants reveal impacts on GTPase signaling, localization, and protein stability",Cutting edge: STAT6 serves as a positive and negative regulator of gene expression in IL-4-stimulated B lymphocytes,,,systematic phenomics analysis of autism associated genes reveals parallel networks underlying reversible impairments in habituation
145,Monitoring changes in the Gene Ontology and their impact on genomic data analysis,Exploring gene expression data with class scores.,,,β catenin tcf lef controls a differentiation associated transcriptional program in renal epithelial progenitors
146,A p53-regulated apoptotic gene signature predicts treatment response and outcome in pediatric acute lymphoblastic leukemia,Learning gene functional classifications from multiple data types,,,gene functional classification from heterogeneous data
147,ModelMatcher: A scientist‐centric online platform to facilitate collaborations between stakeholders of rare and undiagnosed disease research,Analysis of strain and regional variation in gene expression in mouse brain.,,,using anova for gene selection from microarray studies of the nervous system
148,Metaanalysis of flawed expression profiling data leading to erroneous Parkinson's biomarker identification,Promoter region-based classification of genes.,,,cross laboratory analysis of brain cell type transcriptomes with applications to interpretation of bulk tissue data
149,Comparison of techniques for correlating survival and gene expression data from wild salmon,Pair recordings reveal all-silent synaptic connections and the postsynaptic expression of long-term potentiation,,,transcriptomic evidence for alterations in astrocytes and parvalbumin interneurons in subjects with bipolar disorder and schizophrenia
150,Bioinformatics techniques in microarray research: applied microarray data analysis using R and SAS software,A high-throughput study of gene expression in preterm labor with a subtractive microarray approach,,,
151,Cluster analysis of genes with significant change in expression in cells conditioned to survive TBOOH,Gene functional classification from heterogeneous data,,,
152,“Guilt by association” is not competitive with genetic association for identifying autism risk genes,Molecular and functional heterogeneity of hyperpolarization-activated pacemaker channels in the mouse CNS,,,
153,ISDN2014_0418: DNA methylation changes in fetal alcohol spectrum disorder,Presynaptic protein kinase activity supports long-term potentiation at synapses between individual hippocampal neurons,,,
154,"Interactive exploration, analysis, and visualization of complex phenome–genome datasets with ASPIREdb",Synaptic transmission in pair recordings from CA3 pyramidal cells in organotypic culture,,,
155,Mega-analysis of gene expression in mouse models of Alzheimer’s Disease,Basal and apical synapses of CA1 pyramidal cells employ different LTP induction mechanisms,,,
156,Linking Wikidata to the Rest of the Semantic Web.,Seizures and failures in the giant fiber pathway of Drosophila bang- sensitive paralytic mutants,,,
157,Cognitive Domains Function Complementation by NTNG Gene Paralogs,"The Drosophila easily shocked gene: A mutation in a phospholipid synthetic pathway causes seizure, neuronal failure, and paralysis",,,
158,Effect of electroconvulsive shock and magnetic seizure on gene expression profiles in the prefrontal cortex of the rhesus monkey,,,,
159,Gist,,,,
160,In silico discovery of small molecules for efficient stem cell differentiation into definitive endoderm,,,,
161,A low affinity cis-regulatory BMP response element restricts target gene activation to subsets of Drosophila neurons,,,,
162,The Canadian Open Neuroscience Platform—An open science framework for the neuroscience community,,,,
163,Experiment level curation of transcriptional regulatory interactions in neurodevelopment,,,,
164,VariCarta: a comprehensive database of harmonized genomic variants found in ASD sequencing studies,,,,
165,Integration of neuroimaging and Microarray Datasets through Mapping and Model-Theoretic semantic Decomposition of Unstructured phenotypes,,,,
166,Gist: Support vector machine 1.0,,,,
167,Large-scale analysis of brain-wide electrophysiological diversity reveals novel characterization of mammalian neuron types,,,,
168,The NeuroDevNet Neuroinformatics Core.,,,,
169,Cross-scale mapping of gene expression to neuroimaging datasets via semantic decomposition,,,,
170,Open science in play and in tension with patent protections,,,,
171,Characterizing the targets of transcription regulators by aggregating ChIP-seq and perturbation expression data sets,,,,
172,ASSESSING THE UTILITY OF PHARMACOGENETIC TESTING IN A COHORT WITH TREATMENT-RESISTANT SCHIZOPHRENIA OR SCHIZOAFFECTIVE DISORDER,,,,
173,Cataloging the potential functional diversity of Cacna1e splice variants using long-read sequencing,,,,
174,TU71. SIGNIFICANT INCIDENCE OF RARE CHROMOSOMAL AND GENOMIC SEQUENCE VARIANTS IN HIGHLY TREATMENT-RESISTANT SCHIZOPHRENIA AND SCHIZOAFFECTIVE DISORDER,,,,
175,Single-Cell Genomic Strategies to Understand Psychopathological Processes in Suicide and Associated Psychopathology,,,,
176,Experiment level curation identifies high confidence transcriptional regulatory interactions in neurodevelopment,,,,
177,Can machine learning aid in identifying disease genes? The case of autism spectrum disorder,,,,
178,Single-Cell Genomic Strategies to Understand Psychopathological Processes in Depression and Suicide,,,,
179,Systematic phenomics analysis of ASD-associated genes reveals shared functions and parallel networks underlying reversible impairments in habituation learning,,,,
180,A critical assessment of single-cell transcriptomes sampled following patch-clamp electrophysiology,,,,
181,Cellular and Molecular Properties of Neurons: Modeling sources of interlaboratory variability in electrophysiological properties of mammalian neurons,,,,
182,11. Changes in Cellular Abundance Underlying Transcriptional Alterations in Psychiatric Patients,,,,
183,Interpreting Cell-Type-Specific Changes in Bulk Tissue Transcriptomics Data,,,,
184,Whose sample is it anyway? Widespread misannotation of samples in transcriptomics studies [version 2; peer review,,,,
185,samples in transcriptomics studies [version 1; referees: 2,,,,
186,PS73. Changes in neuronal densities underlying transcriptional alterations in psychiatric patients,,,,
187,Changes in neuronal densities underlying transcriptional alterations in psychiatric patients,,,,
188,A6. 08 Transcriptome profiling by next generation sequencing of hematopoietic progenitors in murine systemic lupus erythematosus (SLE),,,,
189,Whose sample is it anyway? Widespread misannotation of samples in transcriptomics studies [version 1; referees: awaiting,,,,
190,Application of large-scale text-mining and curation for extracting neuronal electrophysiology data,,,,
191,Gene coexpression analysis in the frontal cortex of bipolar patients and controls,,,,
192,Application and evaluation of automated methods to extract brain connectivity statements from free text,,,,
193,A Primate-Specific and Brain-Enriched miRNA is Involved in Depression and Regulates the Expression of GRM4,,,,
194,Large-Scale Network and Machine-Learning Analyses Reveal Functional Connectivity Between Temporal Pole and Hippocampus is Reduced in Social Anxiety Disorder and Increases …,,,,
195,"Data and design files for 6 public datasets used in"" Genome-wide expression profiling of schizophrenia using a large combined cohort"" Mistry, M. and Gillis, J. and Pavlidis, P …",,,,
196,"Data from"" Assessing identity, redundancy and confounds in Gene Ontology annotations over time""",,,,
197,"Cross-validation calculation from"" Guilt by Association"" Is the Exception Rather Than the Rule in Gene Networks Gillis, J. and Pavlidis, P.(2012) PLoS Computational Biology, 8 (3).",,,,
198,"Use case: The postsynaptic proteome, from"" Assessing identity, redundancy and confounds in Gene Ontology annotations over time""",,,,
199,"Corrigendum to Cortical functional connectivity decodes subconscious, task-irrelevant threat related emotion processing [Neuroimage 61/4 (2012) 1355–1363]",,,,
200,Follow up: Progress and challenges in the,,,,
201,PROGRAMMING OF NEURAL GENE EXPRESSION RESPONSE TO ADJUVANT-INDUCED ARTHRITIS BY PRENATAL DIET IN A RAT MODEL OF PRENATAL ALCOHOL EXPOSURE,,,,
202,Analysis of Gene Networks in Schizophrenia and the Challenge of Multifunctionality,,,,
203,Decoding Unattended Fearful Faces with Whole-Brain Correlations: An Approach to Identify Condition,,,,
204,ÔØ Å ÒÙ× Ö ÔØ,,,,
205,"Exceptional Edges matrices from"" Guilt by Association"" Is the Exception Rather Than the Rule in Gene Networks Gillis, J. and Pavlidis, P.(2012) PLoS Computational Biology, 8 (3).",,,,
206,"Gene Ontology matrices (with descriptions, IDs, etc) from"" Guilt by Association"" Is the Exception Rather Than the Rule in Gene Networks. Gillis, J. and Pavlidis, P.(2012) PLoS …",,,,
207,"Gene lists from Gillis, J. and Pavlidis, P.(2012) PLoS Computational Biology, 8 (3).",,,,
208,P091 Neurocarta: online platform for integration and sharing of phenotypic and genomics information,,,,
209,Sharing Expression Profiling Data with Gemma,,,,
210,Analysis of Gene Expression Profiles in Schizophrenia Using a Large Combined Cohort,,,,
211,Differential Gene Expression in Schizophrenia and Bipolar Disorder in the Corpus Callosum,,,,
212,"Network data from The role of indirect connections in gene networks in predicting function Gillis, J. and Pavlidis, P.(2011) Bioinformatics, 27 (13). pp. 1860-1866.",,,,
213,"Gene lists from The role of indirect connections in gene networks in predicting function Gillis, J. and Pavlidis, P.(2011) Bioinformatics, 27 (13). pp. 1860-1866.",,,,
214,"Gene Ontology matrices from The role of indirect connections in gene networks in predicting function Gillis, J. and Pavlidis, P.(2011) Bioinformatics, 27 (13). pp. 1860-1866.",,,,
215,"Figure data from"" The role of indirect connections in gene networks in predicting function"" Gillis, J. and Pavlidis, P.(2011) Bioinformatics, 27 (13). pp. 1860-1866.",,,,
216,Coexpression Based Gene Discovery in the Post-Synaptic Proteome,,,,
217,Crosslaboratory comparison of human postmortem brain expression profiling data,,,,
218,Identification of three distinct blood mononuclear cell gene expression signatures reveals heterogeneity of recent onset polyarticular juvenile idiopathic arthritis,,,,
219,GP 5.10 MAPK signaling pathway is commonly activated in hearts of mouse models of autosomal dominant and X-linked Emery–Dreifuss muscular dystrophy,,,,
220,Methodology for analyzing temporal patterns of differential coexpression using meta-analysis,,,,
221,Toll-like receptor 4 (TLR4)-dependent gene expression in a murine model of bacterially induced preterm labor.,,,,
222,Gene Expression in Lens Epithelial Cell Lines Conditioned to Survive H2O2 or TBHP,,,,
223,Cutting Edge: STAT6 Serves as a Positive and,,,,
224,GENERAL OBSTETRICS AND GYNECOLOGY-Fetus-Placenta-Newborn-A high-throughput study of gene expression in preterm labor with a subtractive microarray approach-The subtractive DNA …,,,,
225,Systematic phenomics analysis of ASD-associated genes reveals shared functions and,,,,
226,"Physiological, behavioral and molecular analysis of bang-sensitive paralytic mutants of Drosophila melanogaster",,,,
227,DROSOPHILA MUTATIONS AFFECTING ELECTRICAL EXCITABILITY,,,,
228,"Michael Smith Laboratories, University of British Columbia, Vancouver BC, Canada Department of Psychiatry, University of British Columbia, Vancouver BC, Canada Corresponding …",,,,
229,Multi-Model Functionalization of 106 PTEN Missense Mutations Identifies Multiple Molecular Mechanisms Underlying Protein Dysfunction,,,,
230,Availability: This version is available at: http://porto. polito. it/2649752/since: September 2016,,,,
231,Monitoring changes in the Gene Ontology and their impact on genomic data analysis,,,,
232,Classification of Clear Cell Sarcoma as Melanoma of Soft Parts by Genomic Profiling,,,,
233,SUPPLEMENTARY INFORMATION FOR,,,,
234,Neurocarta: online plaIorm for integration and sharing of phenotypic and genomics information,,,,
235,Neurocarta: aggregating and sharing disease-‐gene relations for the interpretation of genomics studies,,,,
236,Variant selection Gene exploration,,,,
237,Supplementary: Santiago & Potashkin (2015) reanalysis,,,,
238,Supplemental Data Zac1 Regulates an Imprinted Gene Network Critically Involved in the Control of Embryonic Growth,,,,
239,Basal and apical synapses of CA1 pyramidal cells employ different,,,,
240,NAR Molecular Biology Database Collection entry number 1476,,,,
241,LIVE DEMOS in INCF booth# 4112 atSfN in San Diego,,,,
242,Supplemental Data Histone Deacetylase Inhibition Elicits an Evolutionarily Conserved Self-Renewal Program in Embryonic Stem Cells,,,,
243,DATABASE Editorial Board 2010,,,,
244,Paul Pavlidis and William Stafford Noble Columbia Genome Center and Department of Computer Science Columbia University Corresponding author,,,,
