Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Language,Citations,Reference,Abstract,DOI,Publication type,Open Access,EID,Institutions,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Author Keyword
"Morphological alterations in the caudate, putamen, pallidum, and thalamus in Parkinson's disease","Garg, A., Appel-Cresswell, S., Popuri, K., McKeown, M.J., Beg, M.F.",5,55516409300| 36237882900| 35218351700| 7005375626| 7102797387,2015,2015-01-01,Frontiers in Neuroscience,English,49,"Garg, A., Appel-Cresswell, S., Popuri, K. and 2 more (...) (2015).Morphological alterations in the caudate, putamen, pallidum, and thalamus in Parkinson's disease. Frontiers in Neuroscience,9",https://www.scopus.com/record/display.url?eid=2-s2.0-84928114869&origin=resultslist,10.3389/fnins.2015.00101,Article,Gold|Green,2-s2.0-84928114869,Simon Fraser University| University of British Columbia,2,60018491| 60010365,Simon Fraser University| The University of British Columbia,55516409300,7102797387,7102797387,-,Canada,Martin McKeown
"Morphological alterations in the caudate, putamen, pallidum, and thalamus in Parkinson's disease","Garg, A., Appel-Cresswell, S., Popuri, K., McKeown, M.J., Beg, M.F.",5,55516409300| 36237882900| 35218351700| 7005375626| 7102797387,2015,2015-01-01,Frontiers in Neuroscience,English,49,"Garg, A., Appel-Cresswell, S., Popuri, K. and 2 more (...) (2015).Morphological alterations in the caudate, putamen, pallidum, and thalamus in Parkinson's disease. Frontiers in Neuroscience,9",https://www.scopus.com/record/display.url?eid=2-s2.0-84928114869&origin=resultslist,10.3389/fnins.2015.00101,Article,Gold|Green,2-s2.0-84928114869,Simon Fraser University| University of British Columbia,2,60018491| 60010365,Simon Fraser University| The University of British Columbia,55516409300,7102797387,7102797387,-,Canada,Silke Appel-Cresswell
Action and outcome activity state patterns in the anterior cingulate cortex,"Hyman, J.M., Whitman, J., Emberly, E., Woodward, T.S., Seamans, J.K.",5,7005695071| 7007112770| 6604067883| 7102848867| 7003907622,2013,2013-06-01,Cerebral Cortex,English,45,"Hyman, J.M., Whitman, J., Emberly, E. and 2 more (...) (2013).Action and outcome activity state patterns in the anterior cingulate cortex. Cerebral Cortex,23(6) 1257-1268",https://www.scopus.com/record/display.url?eid=2-s2.0-84877271446&origin=resultslist,10.1093/cercor/bhs104,Article,Bronze,2-s2.0-84877271446,Simon Fraser University| University of British Columbia,2,60083635| 60010365| 60010365| 107061485| 60018491,Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia| BC Mental Health and Addictions Research Institute| Simon Fraser University,7005695071,7003907622,7005695071,-,Canada,Todd Stephen Woodward
Action and outcome activity state patterns in the anterior cingulate cortex,"Hyman, J.M., Whitman, J., Emberly, E., Woodward, T.S., Seamans, J.K.",5,7005695071| 7007112770| 6604067883| 7102848867| 7003907622,2013,2013-06-01,Cerebral Cortex,English,45,"Hyman, J.M., Whitman, J., Emberly, E. and 2 more (...) (2013).Action and outcome activity state patterns in the anterior cingulate cortex. Cerebral Cortex,23(6) 1257-1268",https://www.scopus.com/record/display.url?eid=2-s2.0-84877271446&origin=resultslist,10.1093/cercor/bhs104,Article,Bronze,2-s2.0-84877271446,Simon Fraser University| University of British Columbia,2,60083635| 60010365| 60010365| 107061485| 60018491,Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| The University of British Columbia| BC Mental Health and Addictions Research Institute| Simon Fraser University,7005695071,7003907622,7005695071,-,Canada,Jeremy Keith Seamans
A quantitative analysis of context-dependent remapping of medial frontal cortex neurons and ensembles,"Ma, L., Hyman, J.M., Durstewitz, D., Phillips, A.G., Seamans, J.K.",5,56026634200| 7005695071| 12771147900| 7401658611| 7003907622,2016,2016-08-03,Journal of Neuroscience,English,43,"Ma, L., Hyman, J.M., Durstewitz, D. and 2 more (...) (2016).A quantitative analysis of context-dependent remapping of medial frontal cortex neurons and ensembles. Journal of Neuroscience,36(31) 8258-8272",https://www.scopus.com/record/display.url?eid=2-s2.0-84983001424&origin=resultslist,10.1523/JNEUROSCI.3176-15.2016,Article,Bronze|Green,2-s2.0-84983001424,"University of Nevada, Las Vegas| Zentralinstitut fur Seelische Gesundheit - Central Institute of Mental Health| Heidelberg University | University of British Columbia| Western University",5,60029991| 60010884| 60031892| 60005285| 60016908| 60083635| 60010365,"Robarts Research Institute| Western University| University of Nevada, Las Vegas| Zentralinstitut für Seelische Gesundheit| Universität Heidelberg| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia",56026634200,7003907622,56026634200,-,United States| Germany| Canada,Anthony G. Phillips
A quantitative analysis of context-dependent remapping of medial frontal cortex neurons and ensembles,"Ma, L., Hyman, J.M., Durstewitz, D., Phillips, A.G., Seamans, J.K.",5,56026634200| 7005695071| 12771147900| 7401658611| 7003907622,2016,2016-08-03,Journal of Neuroscience,English,43,"Ma, L., Hyman, J.M., Durstewitz, D. and 2 more (...) (2016).A quantitative analysis of context-dependent remapping of medial frontal cortex neurons and ensembles. Journal of Neuroscience,36(31) 8258-8272",https://www.scopus.com/record/display.url?eid=2-s2.0-84983001424&origin=resultslist,10.1523/JNEUROSCI.3176-15.2016,Article,Bronze|Green,2-s2.0-84983001424,"University of Nevada, Las Vegas| Zentralinstitut fur Seelische Gesundheit - Central Institute of Mental Health| Heidelberg University | University of British Columbia| Western University",5,60029991| 60010884| 60031892| 60005285| 60016908| 60083635| 60010365,"Robarts Research Institute| Western University| University of Nevada, Las Vegas| Zentralinstitut für Seelische Gesundheit| Universität Heidelberg| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia",56026634200,7003907622,56026634200,-,United States| Germany| Canada,Jeremy Keith Seamans
Parkinson's disease rigidity: Relation to brain connectivity and motor performance,"Baradaran, N., Tan, S.N., Liu, A., Ashoori, A., Palmer, S.J., Wang, Z.J., Oishi, M.M.K., McKeown, M.J.",8,57188972951| 24512575100| 54397386900| 57503838200| 15045168400| 11241026700| 23571100400| 7005375626,2013,2013-01-01,Frontiers in Neurology,English,43,"Baradaran, N., Tan, S.N., Liu, A. and 5 more (...) (2013).Parkinson's disease rigidity: Relation to brain connectivity and motor performance. Frontiers in Neurology,4",https://www.scopus.com/record/display.url?eid=2-s2.0-84883544182&origin=resultslist,10.3389/fneur.2013.00067,Article,Gold|Green,2-s2.0-84883544182,University of British Columbia| University of New Mexico,2,60010365| 60010365| 60033021| 60010365,The University of British Columbia| The University of British Columbia| The University of New Mexico| The University of British Columbia,57188972951,7005375626,7005375626,-,United States| Canada,Z. Jane Wang
Parkinson's disease rigidity: Relation to brain connectivity and motor performance,"Baradaran, N., Tan, S.N., Liu, A., Ashoori, A., Palmer, S.J., Wang, Z.J., Oishi, M.M.K., McKeown, M.J.",8,57188972951| 24512575100| 54397386900| 57503838200| 15045168400| 11241026700| 23571100400| 7005375626,2013,2013-01-01,Frontiers in Neurology,English,43,"Baradaran, N., Tan, S.N., Liu, A. and 5 more (...) (2013).Parkinson's disease rigidity: Relation to brain connectivity and motor performance. Frontiers in Neurology,4",https://www.scopus.com/record/display.url?eid=2-s2.0-84883544182&origin=resultslist,10.3389/fneur.2013.00067,Article,Gold|Green,2-s2.0-84883544182,University of British Columbia| University of New Mexico,2,60010365| 60010365| 60033021| 60010365,The University of British Columbia| The University of British Columbia| The University of New Mexico| The University of British Columbia,57188972951,7005375626,7005375626,-,United States| Canada,Martin McKeown
Noisy Galvanic Vestibular Stimulation Modulates the Amplitude of EEG Synchrony Patterns,"Kim, D.J., Yogendrakumar, V., Chiang, J., Ty, E., Wang, Z.J., McKeown, M.J.",6,56053234600| 55798535100| 16068241200| 6507955631| 11241026700| 7005375626,2013,2013-07-18,PLoS ONE,English,42,"Kim, D.J., Yogendrakumar, V., Chiang, J. and 3 more (...) (2013).Noisy Galvanic Vestibular Stimulation Modulates the Amplitude of EEG Synchrony Patterns. PLoS ONE,8(7)",https://www.scopus.com/record/display.url?eid=2-s2.0-84880439399&origin=resultslist,10.1371/journal.pone.0069055,Article,Gold|Green,2-s2.0-84880439399,University of British Columbia,1,60010365| 100349691| 60010365| 60010365| 60010365,The University of British Columbia| Pacific Parkinson's Research Centre| The University of British Columbia| The University of British Columbia| The University of British Columbia,56053234600,7005375626,-,-,Canada,Z. Jane Wang
Noisy Galvanic Vestibular Stimulation Modulates the Amplitude of EEG Synchrony Patterns,"Kim, D.J., Yogendrakumar, V., Chiang, J., Ty, E., Wang, Z.J., McKeown, M.J.",6,56053234600| 55798535100| 16068241200| 6507955631| 11241026700| 7005375626,2013,2013-07-18,PLoS ONE,English,42,"Kim, D.J., Yogendrakumar, V., Chiang, J. and 3 more (...) (2013).Noisy Galvanic Vestibular Stimulation Modulates the Amplitude of EEG Synchrony Patterns. PLoS ONE,8(7)",https://www.scopus.com/record/display.url?eid=2-s2.0-84880439399&origin=resultslist,10.1371/journal.pone.0069055,Article,Gold|Green,2-s2.0-84880439399,University of British Columbia,1,60010365| 100349691| 60010365| 60010365| 60010365,The University of British Columbia| Pacific Parkinson's Research Centre| The University of British Columbia| The University of British Columbia| The University of British Columbia,56053234600,7005375626,-,-,Canada,Martin McKeown
The effect of LRRK2 mutations on the cholinergic system in manifest and premanifest stages of Parkinson's disease: a cross-sectional PET study,"Liu, S.-Y., Wile, D.J., Fu, J.F., Valerio, J., Shahinfard, E., McCormick, S., Mabrouk, R., Vafai, N., McKenzie, J., Neilson, N., Perez-Soriano, A., Arena, J.E., Cherkasova, M., Chan, P., Zhang, J., Zabetian, C.P., Aasly, J.O., Wszolek, Z.K., McKeown, M.J., Adam, M.J., Ruth, T.J., Schulzer, M., Sossi, V., Stoessl, A.J.",24,57188564716| 55949536700| 57200582147| 56417736000| 34870645400| 15835259900| 44861399900| 17347044800| 7202100222| 57193676918| 57192178524| 56686232700| 6602626118| 7403497663| 56451382800| 6602931331| 7004207163| 7005313394| 7005375626| 7202582328| 55434660300| 7005737438| 56276238300| 7004896118,2018,2018-04-01,The Lancet Neurology,English,42,"Liu, S.-Y., Wile, D.J., Fu, J.F. and 21 more (...) (2018).The effect of LRRK2 mutations on the cholinergic system in manifest and premanifest stages of Parkinson's disease: a cross-sectional PET study. The Lancet Neurology,17(4) 309-316",https://www.scopus.com/record/display.url?eid=2-s2.0-85042069704&origin=resultslist,10.1016/S1474-4422(18)30032-2,Article,Green,2-s2.0-85042069704,"Mayo Clinic Jacksonville, FL| TRIUMF| VA Puget Sound Health Care System| University of British Columbia| Norwegian University of Science and Technology| University of Washington| Vancouver Coastal Health| Capital Medical University",8,60083635| 60005789| 60010365| 60080985| 60010365| 60012967| 60015481| 60015481| 60031866| 60013141| 60002333| 60010365| 60000731| 60000731,"Djavad Mowafaghian Centre for Brain Health| Vancouver Coastal Health| The University of British Columbia| Xuanwu Hospital, Capital Medical University| The University of British Columbia| University of British Columbia Okanagan| University of Washington| University of Washington| VA Puget Sound Health Care System| Norges Teknisk-Naturvitenskapelige Universitet| Mayo Clinic in Jacksonville, Florida| The University of British Columbia| TRIUMF| TRIUMF",57188564716,7004896118,7004896118,-,Norway| China| United States| Canada,Martin McKeown
The effect of LRRK2 mutations on the cholinergic system in manifest and premanifest stages of Parkinson's disease: a cross-sectional PET study,"Liu, S.-Y., Wile, D.J., Fu, J.F., Valerio, J., Shahinfard, E., McCormick, S., Mabrouk, R., Vafai, N., McKenzie, J., Neilson, N., Perez-Soriano, A., Arena, J.E., Cherkasova, M., Chan, P., Zhang, J., Zabetian, C.P., Aasly, J.O., Wszolek, Z.K., McKeown, M.J., Adam, M.J., Ruth, T.J., Schulzer, M., Sossi, V., Stoessl, A.J.",24,57188564716| 55949536700| 57200582147| 56417736000| 34870645400| 15835259900| 44861399900| 17347044800| 7202100222| 57193676918| 57192178524| 56686232700| 6602626118| 7403497663| 56451382800| 6602931331| 7004207163| 7005313394| 7005375626| 7202582328| 55434660300| 7005737438| 56276238300| 7004896118,2018,2018-04-01,The Lancet Neurology,English,42,"Liu, S.-Y., Wile, D.J., Fu, J.F. and 21 more (...) (2018).The effect of LRRK2 mutations on the cholinergic system in manifest and premanifest stages of Parkinson's disease: a cross-sectional PET study. The Lancet Neurology,17(4) 309-316",https://www.scopus.com/record/display.url?eid=2-s2.0-85042069704&origin=resultslist,10.1016/S1474-4422(18)30032-2,Article,Green,2-s2.0-85042069704,"Mayo Clinic Jacksonville, FL| TRIUMF| VA Puget Sound Health Care System| University of British Columbia| Norwegian University of Science and Technology| University of Washington| Vancouver Coastal Health| Capital Medical University",8,60083635| 60005789| 60010365| 60080985| 60010365| 60012967| 60015481| 60015481| 60031866| 60013141| 60002333| 60010365| 60000731| 60000731,"Djavad Mowafaghian Centre for Brain Health| Vancouver Coastal Health| The University of British Columbia| Xuanwu Hospital, Capital Medical University| The University of British Columbia| University of British Columbia Okanagan| University of Washington| University of Washington| VA Puget Sound Health Care System| Norges Teknisk-Naturvitenskapelige Universitet| Mayo Clinic in Jacksonville, Florida| The University of British Columbia| TRIUMF| TRIUMF",57188564716,7004896118,7004896118,-,Norway| China| United States| Canada,A. Jon Stoessl
Tracking progress toward a goal in corticostriatal ensembles,"Ma, L., Hyman, J.M., Phillips, A.G., Seamans, J.K.",4,56026634200| 7005695071| 7401658611| 7003907622,2014,2014-01-01,Journal of Neuroscience,English,40,"Ma, L., Hyman, J.M., Phillips, A.G. and 1 more (...) (2014).Tracking progress toward a goal in corticostriatal ensembles. Journal of Neuroscience,34(6) 2244-2253",https://www.scopus.com/record/display.url?eid=2-s2.0-84893473069&origin=resultslist,10.1523/JNEUROSCI.3834-13.2014,Article,Hybrid gold|Green,2-s2.0-84893473069,University of British Columbia,1,60083635| 60010365,Djavad Mowafaghian Centre for Brain Health| The University of British Columbia,56026634200,7003907622,56026634200,-,Canada,Anthony G. Phillips
Tracking progress toward a goal in corticostriatal ensembles,"Ma, L., Hyman, J.M., Phillips, A.G., Seamans, J.K.",4,56026634200| 7005695071| 7401658611| 7003907622,2014,2014-01-01,Journal of Neuroscience,English,40,"Ma, L., Hyman, J.M., Phillips, A.G. and 1 more (...) (2014).Tracking progress toward a goal in corticostriatal ensembles. Journal of Neuroscience,34(6) 2244-2253",https://www.scopus.com/record/display.url?eid=2-s2.0-84893473069&origin=resultslist,10.1523/JNEUROSCI.3834-13.2014,Article,Hybrid gold|Green,2-s2.0-84893473069,University of British Columbia,1,60083635| 60010365,Djavad Mowafaghian Centre for Brain Health| The University of British Columbia,56026634200,7003907622,56026634200,-,Canada,Jeremy Keith Seamans
In vivo imaging reveals that pregabalin inhibits cortical spreading depression and propagation to subcortical brain structures,"Cain, S.M., Bohnet, B., LeDue, J., Yung, A.C., Garcia, E., Tyson, J.R., Alles, S.R.A., Han, H., Van Den Maagdenberg, A.M.J.M., Kozlowski, P., MacVicar, B.A., Snutch, T.P.",12,16155302300| 57191416090| 56371437500| 8277521700| 55989748800| 7201985950| 57191991677| 55777493300| 7003477455| 7103188726| 7006717711| 35408131500,2017,2017-02-28,Proceedings of the National Academy of Sciences of the United States of America,English,39,"Cain, S.M., Bohnet, B., LeDue, J. and 9 more (...) (2017).In vivo imaging reveals that pregabalin inhibits cortical spreading depression and propagation to subcortical brain structures. Proceedings of the National Academy of Sciences of the United States of America,114(9) 2401-2406",https://www.scopus.com/record/display.url?eid=2-s2.0-85014224846&origin=resultslist,10.1073/pnas.1614447114,Article,Bronze|Green,2-s2.0-85014224846,Leiden University| University of British Columbia,2,60010365| 60011393| 60010365| 60010365| 60015618| 60015618,The University of British Columbia| Michael Smith Laboratories| The University of British Columbia| The University of British Columbia| Leids Universitair Medisch Centrum| Leids Universitair Medisch Centrum,16155302300,35408131500,16155302300,-,Netherlands| Canada,Terrance P. Snutch
In vivo imaging reveals that pregabalin inhibits cortical spreading depression and propagation to subcortical brain structures,"Cain, S.M., Bohnet, B., LeDue, J., Yung, A.C., Garcia, E., Tyson, J.R., Alles, S.R.A., Han, H., Van Den Maagdenberg, A.M.J.M., Kozlowski, P., MacVicar, B.A., Snutch, T.P.",12,16155302300| 57191416090| 56371437500| 8277521700| 55989748800| 7201985950| 57191991677| 55777493300| 7003477455| 7103188726| 7006717711| 35408131500,2017,2017-02-28,Proceedings of the National Academy of Sciences of the United States of America,English,39,"Cain, S.M., Bohnet, B., LeDue, J. and 9 more (...) (2017).In vivo imaging reveals that pregabalin inhibits cortical spreading depression and propagation to subcortical brain structures. Proceedings of the National Academy of Sciences of the United States of America,114(9) 2401-2406",https://www.scopus.com/record/display.url?eid=2-s2.0-85014224846&origin=resultslist,10.1073/pnas.1614447114,Article,Bronze|Green,2-s2.0-85014224846,Leiden University| University of British Columbia,2,60010365| 60011393| 60010365| 60010365| 60015618| 60015618,The University of British Columbia| Michael Smith Laboratories| The University of British Columbia| The University of British Columbia| Leids Universitair Medisch Centrum| Leids Universitair Medisch Centrum,16155302300,35408131500,16155302300,-,Netherlands| Canada,Brian A. MacVicar
Computational Neuroscience: Mathematical and Statistical Perspectives,"Kass, R.E., Amari, S.-I., Arai, K., Brown, E.N., Diekman, C.O., Diesmann, M., Doiron, B., Eden, U.T., Fairhall, A.L., Fiddyment, G.M., Fukai, T., Grün, S., Harrison, M.T., Helias, M., Nakahara, H., Teramae, J.-N., Thomas, P.J., Reimers, M., Rodu, J., Rotstein, H.G., Shea-Brown, E., Shimazaki, H., Shinomoto, S., Yu, B.M., Kramer, M.A.",25,7101731853| 35553922600| 8909950300| 57201225828| 27667454100| 6602818065| 7003284179| 6602248001| 6602928622| 57193843835| 7006520778| 57207523382| 7401594545| 23979798100| 56211269900| 6507554166| 57207778921| 6603794781| 23973261700| 7005028233| 15065850600| 8870617000| 6701756830| 7402092839| 7402838557,2018,2018-03-07,Annual Review of Statistics and Its Application,English,36,"Kass, R.E., Amari, S.-I., Arai, K. and 22 more (...) (2018).Computational Neuroscience: Mathematical and Statistical Perspectives. Annual Review of Statistics and Its Application,5183-214",https://www.scopus.com/record/display.url?eid=2-s2.0-85043465123&origin=resultslist,10.1146/annurev-statistics-041715-033733,Article,Green,2-s2.0-85043465123,"Brown University| Kyoto University| Harvard University| Jülich Research Centre| University of Pittsburgh| Osaka University| Boston University| Rutgers - The State University of New Jersey, Newark| Michigan State University| RIKEN| Massachusetts Institute of Technology| New Jersey Institute of Technology| University of Virginia| Carnegie Mellon University| RWTH Aachen University| University of Washington| Case Western Reserve University",17,60136673| 60136673| 60027950| 60020829| 60019674| 60022195| 60002746| 60022904| 60007774| 60016653| 60015543| 60015481| 60011460| 60024322| 60000305| 60031707| 60021918| 60022904| 60000473| 60022904| 120350572| 60011001| 60027950,Center for the Neural Basis of Cognition| Center for the Neural Basis of Cognition| Carnegie Mellon University| RIKEN Center for Brain Science| Boston University| Massachusetts Institute of Technology| Harvard Medical School| New Jersey Institute of Technology| Forschungszentrum Jülich GmbH| Rheinisch-Westfälische Technische Hochschule Aachen| University of Pittsburgh| University of Washington| Brown University| Osaka University| Case Western Reserve University| Michigan State University| University of Virginia| New Jersey Institute of Technology| Rutgers University-Newark Campus| New Jersey Institute of Technology| Honda Research Institute Japan| Kyoto University| Carnegie Mellon University,7101731853,7402838557,-,-,Japan| United States| Germany,Eric T. Shea-Brown
Computational Neuroscience: Mathematical and Statistical Perspectives,"Kass, R.E., Amari, S.-I., Arai, K., Brown, E.N., Diekman, C.O., Diesmann, M., Doiron, B., Eden, U.T., Fairhall, A.L., Fiddyment, G.M., Fukai, T., Grün, S., Harrison, M.T., Helias, M., Nakahara, H., Teramae, J.-N., Thomas, P.J., Reimers, M., Rodu, J., Rotstein, H.G., Shea-Brown, E., Shimazaki, H., Shinomoto, S., Yu, B.M., Kramer, M.A.",25,7101731853| 35553922600| 8909950300| 57201225828| 27667454100| 6602818065| 7003284179| 6602248001| 6602928622| 57193843835| 7006520778| 57207523382| 7401594545| 23979798100| 56211269900| 6507554166| 57207778921| 6603794781| 23973261700| 7005028233| 15065850600| 8870617000| 6701756830| 7402092839| 7402838557,2018,2018-03-07,Annual Review of Statistics and Its Application,English,36,"Kass, R.E., Amari, S.-I., Arai, K. and 22 more (...) (2018).Computational Neuroscience: Mathematical and Statistical Perspectives. Annual Review of Statistics and Its Application,5183-214",https://www.scopus.com/record/display.url?eid=2-s2.0-85043465123&origin=resultslist,10.1146/annurev-statistics-041715-033733,Article,Green,2-s2.0-85043465123,"Brown University| Kyoto University| Harvard University| Jülich Research Centre| University of Pittsburgh| Osaka University| Boston University| Rutgers - The State University of New Jersey, Newark| Michigan State University| RIKEN| Massachusetts Institute of Technology| New Jersey Institute of Technology| University of Virginia| Carnegie Mellon University| RWTH Aachen University| University of Washington| Case Western Reserve University",17,60136673| 60136673| 60027950| 60020829| 60019674| 60022195| 60002746| 60022904| 60007774| 60016653| 60015543| 60015481| 60011460| 60024322| 60000305| 60031707| 60021918| 60022904| 60000473| 60022904| 120350572| 60011001| 60027950,Center for the Neural Basis of Cognition| Center for the Neural Basis of Cognition| Carnegie Mellon University| RIKEN Center for Brain Science| Boston University| Massachusetts Institute of Technology| Harvard Medical School| New Jersey Institute of Technology| Forschungszentrum Jülich GmbH| Rheinisch-Westfälische Technische Hochschule Aachen| University of Pittsburgh| University of Washington| Brown University| Osaka University| Case Western Reserve University| Michigan State University| University of Virginia| New Jersey Institute of Technology| Rutgers University-Newark Campus| New Jersey Institute of Technology| Honda Research Institute Japan| Kyoto University| Carnegie Mellon University,7101731853,7402838557,-,-,Japan| United States| Germany,Adrienne L. Fairhall
Gender differences in Parkinson's disease depression,"Perrin, A.J., Nosova, E., Co, K., Book, A., Iu, O., Silva, V., Thompson, C., McKeown, M.J., Stoessl, A.J., Farrer, M.J., Appel-Cresswell, S.",11,56599939700| 57193853773| 56544546800| 57192959910| 57192961297| 57193930943| 57213471104| 7005375626| 7004896118| 35380197600| 36237882900,2017,2017-03-01,Parkinsonism and Related Disorders,English,35,"Perrin, A.J., Nosova, E., Co, K. and 8 more (...) (2017).Gender differences in Parkinson's disease depression. Parkinsonism and Related Disorders,3693-97",https://www.scopus.com/record/display.url?eid=2-s2.0-85009451988&origin=resultslist,10.1016/j.parkreldis.2016.12.026,Article,,2-s2.0-85009451988,University of British Columbia,1,60010365| 60010365| 60083635| 60083635| 60010365,The University of British Columbia| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia,56599939700,36237882900,56599939700,-,Canada,Martin McKeown
Gender differences in Parkinson's disease depression,"Perrin, A.J., Nosova, E., Co, K., Book, A., Iu, O., Silva, V., Thompson, C., McKeown, M.J., Stoessl, A.J., Farrer, M.J., Appel-Cresswell, S.",11,56599939700| 57193853773| 56544546800| 57192959910| 57192961297| 57193930943| 57213471104| 7005375626| 7004896118| 35380197600| 36237882900,2017,2017-03-01,Parkinsonism and Related Disorders,English,35,"Perrin, A.J., Nosova, E., Co, K. and 8 more (...) (2017).Gender differences in Parkinson's disease depression. Parkinsonism and Related Disorders,3693-97",https://www.scopus.com/record/display.url?eid=2-s2.0-85009451988&origin=resultslist,10.1016/j.parkreldis.2016.12.026,Article,,2-s2.0-85009451988,University of British Columbia,1,60010365| 60010365| 60083635| 60083635| 60010365,The University of British Columbia| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia,56599939700,36237882900,56599939700,-,Canada,A. Jon Stoessl
Gender differences in Parkinson's disease depression,"Perrin, A.J., Nosova, E., Co, K., Book, A., Iu, O., Silva, V., Thompson, C., McKeown, M.J., Stoessl, A.J., Farrer, M.J., Appel-Cresswell, S.",11,56599939700| 57193853773| 56544546800| 57192959910| 57192961297| 57193930943| 57213471104| 7005375626| 7004896118| 35380197600| 36237882900,2017,2017-03-01,Parkinsonism and Related Disorders,English,35,"Perrin, A.J., Nosova, E., Co, K. and 8 more (...) (2017).Gender differences in Parkinson's disease depression. Parkinsonism and Related Disorders,3693-97",https://www.scopus.com/record/display.url?eid=2-s2.0-85009451988&origin=resultslist,10.1016/j.parkreldis.2016.12.026,Article,,2-s2.0-85009451988,University of British Columbia,1,60010365| 60010365| 60083635| 60083635| 60010365,The University of British Columbia| The University of British Columbia| Djavad Mowafaghian Centre for Brain Health| Djavad Mowafaghian Centre for Brain Health| The University of British Columbia,56599939700,36237882900,56599939700,-,Canada,Silke Appel-Cresswell
DNAJC13 genetic variants in parkinsonism,"Gustavsson, E.K., Trinh, J., Guella, I., Vilariño-Güell, C., Appel-Cresswell, S., Stoessl, A.J., Tsui, J.K., Mckeown, M., Rajput, A., Rajput, A.H., Aasly, J.O., Farrer, M.J.",12,55959825700| 54400148400| 24072883100| 55901182300| 36237882900| 7004896118| 7004988677| 7005375626| 18435070000| 7103354925| 7004207163| 35380197600,2015,2015-02-01,Movement Disorders,English,32,"Gustavsson, E.K., Trinh, J., Guella, I. and 9 more (...) (2015).DNAJC13 genetic variants in parkinsonism. Movement Disorders,30(2) 273-278",https://www.scopus.com/record/display.url?eid=2-s2.0-84964297981&origin=resultslist,10.1002/mds.26064,Article,,2-s2.0-84964297981,Saskatchewan Health Authority| University of Saskatchewan| University of British Columbia| Norwegian University of Science and Technology,4,60083635| 60010365| 60013141| 60023052| 60010365| 60011771| 60011553,"Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| Norges Teknisk-Naturvitenskapelige Universitet| Universitetssykehuset i Trondheim| The University of British Columbia| Saskatchewan Health Authority| University of Saskatchewan, College of Medicine",55959825700,35380197600,55959825700,-,Norway| Canada,Martin McKeown
DNAJC13 genetic variants in parkinsonism,"Gustavsson, E.K., Trinh, J., Guella, I., Vilariño-Güell, C., Appel-Cresswell, S., Stoessl, A.J., Tsui, J.K., Mckeown, M., Rajput, A., Rajput, A.H., Aasly, J.O., Farrer, M.J.",12,55959825700| 54400148400| 24072883100| 55901182300| 36237882900| 7004896118| 7004988677| 7005375626| 18435070000| 7103354925| 7004207163| 35380197600,2015,2015-02-01,Movement Disorders,English,32,"Gustavsson, E.K., Trinh, J., Guella, I. and 9 more (...) (2015).DNAJC13 genetic variants in parkinsonism. Movement Disorders,30(2) 273-278",https://www.scopus.com/record/display.url?eid=2-s2.0-84964297981&origin=resultslist,10.1002/mds.26064,Article,,2-s2.0-84964297981,Saskatchewan Health Authority| University of Saskatchewan| University of British Columbia| Norwegian University of Science and Technology,4,60083635| 60010365| 60013141| 60023052| 60010365| 60011771| 60011553,"Djavad Mowafaghian Centre for Brain Health| The University of British Columbia| Norges Teknisk-Naturvitenskapelige Universitet| Universitetssykehuset i Trondheim| The University of British Columbia| Saskatchewan Health Authority| University of Saskatchewan, College of Medicine",55959825700,35380197600,55959825700,-,Norway| Canada,A. Jon Stoessl
