,Last Name,First Name,Affiliation,Scopus Author ID,ORCID,Tags,Research Areas,Warnings
120,Pouladi,Mahmoud,"University of British Columbia, Faculty of Medicine",6507466238,0000-0002-9030-0976,Brain Development & Neurodevelopmental Disorders,"Neuroscience (all) - 41 publications;Biochemistry, Genetics and Molecular Biology (all) - 67 publications;Medicine (all) - 87 publications;",not affiliated with UBC
121,Quandt,Jacqueline,"University of British Columbia, Faculty of Medicine",8968134400,,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 13 publications;Neuroscience (all) - 26 publications;Medicine (all) - 38 publications;",not affiliated with UBC
122,Ranger,Manon,BC Children's Hospital Research Institute,21934612800,0000-0001-8253-0686,Brain Development & Neurodevelopmental Disorders,Nursing (all) - 9 publications;Neuroscience (all) - 10 publications;Medicine (all) - 50 publications;,
123,Rankin,Catharine,Djavad Mowafaghian Centre for Brain Health,7007032941,0000-0002-1781-0654,Learning Memory & Dementias,"Medicine (all) - 50 publications;Biochemistry, Genetics and Molecular Biology (all) - 59 publications;Neuroscience (all) - 98 publications;",multiple profiles; 
124,Rauscher,Alexander,The University of British Columbia,23390344400,,Brain Injury & Repair,"Biochemistry, Genetics and Molecular Biology (all) - 20 publications;Neuroscience (all) - 57 publications;Medicine (all) - 205 publications;",multiple profiles; 
125,Raymond,Lynn,Djavad Mowafaghian Centre for Brain Health,7102737545,,Sensory Motor Systems & Movement Disorders,"Medicine (all) - 92 publications;Biochemistry, Genetics and Molecular Biology (all) - 101 publications;Neuroscience (all) - 116 publications;",multiple profiles; 
126,Robertson,Heather,The University of Edinburgh,7203066485,,Mental Health & Addictions,"Materials Science (all) - 23 publications;Biochemistry, Genetics and Molecular Biology (all) - 27 publications;Chemistry (all) - 262 publications;",multiple profiles; not affiliated with UBC
127,Robillard,Julie,BC Children's Hospital Research Institute,55216196900,0000-0001-5765-4927,Learning Memory & Dementias,"Biochemistry, Genetics and Molecular Biology (all) - 19 publications;Neuroscience (all) - 32 publications;Medicine (all) - 130 publications;",multiple profiles; 
128,Rosin,Jessica,Cumming School of Medicine,55252403200,,Brain Development & Neurodevelopmental Disorders,"Neuroscience (all) - 12 publications;Medicine (all) - 15 publications;Biochemistry, Genetics and Molecular Biology (all) - 21 publications;",multiple profiles; not affiliated with UBC
129,Roskams,Jane,University of Washington,55889287500,,Brain Development & Neurodevelopmental Disorders,"Medicine (all) - 22 publications;Neuroscience (all) - 51 publications;Biochemistry, Genetics and Molecular Biology (all) - 54 publications;",multiple profiles; not affiliated with UBC
130,Schütz,Christian,The University of British Columbia,7006895707,,Mental Health & Addictions,"Pharmacology, Toxicology and Pharmaceutics (all) - 22 publications;Psychology (all) - 25 publications;Medicine (all) - 178 publications;",multiple profiles; 
131,Seamans,Jeremy,Djavad Mowafaghian Centre for Brain Health,7003907622,,Mental Health & Addictions,"Medicine (all) - 21 publications;Biochemistry, Genetics and Molecular Biology (all) - 22 publications;Neuroscience (all) - 76 publications;",
132,Sekhon,Mypinder,The University of British Columbia,6603557927,,Brain Injury & Repair,"Nursing (all) - 14 publications;Biochemistry, Genetics and Molecular Biology (all) - 16 publications;Medicine (all) - 232 publications;",
133,Silverberg,Noah,The University of British Columbia,18438336300,,Brain Injury & Repair,Health Professions  (all) - 35 publications;Psychology (all) - 51 publications;Medicine (all) - 222 publications;,
134,Snutch,Terry,Michael Smith Laboratories,35408131500,,Brain Injury & Repair,"Medicine (all) - 82 publications;Neuroscience (all) - 115 publications;Biochemistry, Genetics and Molecular Biology (all) - 187 publications;",not affiliated with UBC
135,Snyder,Jason,The University of British Columbia,28167863900,,Learning Memory & Dementias,"Biochemistry, Genetics and Molecular Biology (all) - 11 publications;Neuroscience (all) - 29 publications;Medicine (all) - 31 publications;",multiple profiles; 
136,Soma,Kiran,The University of British Columbia,7005934914,0000-0003-2169-8092,Brain Development & Neurodevelopmental Disorders,"Medicine (all) - 86 publications;Neuroscience (all) - 115 publications;Biochemistry, Genetics and Molecular Biology (all) - 122 publications;",multiple profiles; 
137,Song,Weihong,The University of British Columbia,7401655359,0000-0001-9928-889X,Learning Memory & Dementias,"Neuroscience (all) - 122 publications;Biochemistry, Genetics and Molecular Biology (all) - 164 publications;Medicine (all) - 166 publications;",multiple profiles; 
138,Sossi,Vesna,The University of British Columbia,56276238300,,Sensory Motor Systems & Movement Disorders,Neuroscience (all) - 100 publications;Physics and Astronomy (all) - 145 publications;Medicine (all) - 313 publications;,
139,Spering,Miriam,The University of British Columbia,57203220428,,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 12 publications;Neuroscience (all) - 40 publications;Medicine (all) - 51 publications;",
140,Stewart,Evelyn,Children's and Women's Health Centre of British Columbia,54414801200,0000-0002-0994-6383,Mental Health & Addictions,Neuroscience (all) - 37 publications;Psychology (all) - 59 publications;Medicine (all) - 223 publications;,multiple profiles; not affiliated with UBC
141,Stoessl,Jon,The University of British Columbia,7004896118,0000-0002-9778-7246,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 62 publications;Neuroscience (all) - 261 publications;Medicine (all) - 295 publications;",multiple profiles; 
142,Stowe,Robert,Defence Research and Development Canada,13105964300,,Mental Health & Addictions,Earth and Planetary Sciences (all) - 8 publications;Energy (all) - 26 publications;Engineering (all) - 94 publications;,multiple profiles; not affiliated with UBC
143,Subramaniam,Sriram,"The University of British Columbia, Department of Biochemistry and Molecular Biology",7102872243,0000-0003-4231-4115,Mental Health & Addictions,"Medicine (all) - 78 publications;Immunology and Microbiology (all) - 87 publications;Biochemistry, Genetics and Molecular Biology (all) - 226 publications;",multiple profiles; not affiliated with UBC
144,Tam,Roger,Djavad Mowafaghian Centre for Brain Health,7006808600,0000-0002-4593-2587,Sensory Motor Systems & Movement Disorders,Computer Science (all) - 50 publications;Neuroscience (all) - 52 publications;Medicine (all) - 145 publications;,multiple profiles; 
145,Tetzlaff,Wolfram,The University of British Columbia,7006262846,0000-0003-3462-1676,Brain Injury & Repair,"Biochemistry, Genetics and Molecular Biology (all) - 80 publications;Medicine (all) - 147 publications;Neuroscience (all) - 204 publications;",
146,Todd,Rebecca,The University of Manchester,7202843579,0000-0003-4361-2501,Mental Health & Addictions,Mathematics (all) - 9 publications;Energy (all) - 31 publications;Engineering (all) - 78 publications;,multiple profiles; not affiliated with UBC
147,Traboulsee,Tony,Vancouver General Hospital,6506375023,,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 1 publications;Neuroscience (all) - 1 publications;Medicine (all) - 10 publications;",not affiliated with UBC
148,Tremlett,Helen,Djavad Mowafaghian Centre for Brain Health,6603148038,,Sensory Motor Systems & Movement Disorders,"Pharmacology, Toxicology and Pharmaceutics (all) - 17 publications;Neuroscience (all) - 142 publications;Medicine (all) - 388 publications;",
149,Vanderwal,Tamara,"University of British Columbia, Faculty of Medicine",24177629100,,Mental Health & Addictions,Psychology (all) - 10 publications;Neuroscience (all) - 22 publications;Medicine (all) - 33 publications;,not affiliated with UBC
150,van Donkelaar,Paul,University of British Columbia Okanagan,56265931000,,Brain Injury & Repair,Psychology (all) - 46 publications;Neuroscience (all) - 84 publications;Medicine (all) - 106 publications;,multiple profiles; not affiliated with UBC
151,Viau,Victor,The University of British Columbia,6701641675,,Mental Health & Addictions,"Biochemistry, Genetics and Molecular Biology (all) - 53 publications;Medicine (all) - 55 publications;Neuroscience (all) - 67 publications;",
152,Vigo,Daniel,KU Leuven,8561255400,0000-0003-2291-245X,Mental Health & Addictions,Psychology (all) - 17 publications;Neuroscience (all) - 36 publications;Medicine (all) - 86 publications;,multiple profiles; not affiliated with UBC
153,Vilarino-Guell,Carles,"The University of British Columbia, Department of Medical Genetics",55901182300,0000-0002-5612-5940,Sensory Motor Systems & Movement Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 53 publications;Neuroscience (all) - 75 publications;Medicine (all) - 167 publications;",multiple profiles; not affiliated with UBC
154,Vila-Rodriguez,Fidel,The University of British Columbia,24279161600,0000-0002-8273-8820,Mental Health & Addictions,Psychology (all) - 34 publications;Neuroscience (all) - 75 publications;Medicine (all) - 255 publications;,
155,Virji-Babul,Naznin,Djavad Mowafaghian Centre for Brain Health,6602934805,0000-0002-8984-5848,Brain Injury & Repair,Health Professions  (all) - 27 publications;Neuroscience (all) - 47 publications;Medicine (all) - 103 publications;,
156,Wang,Yu Tian,Yanshan University,10039970900,,Brain Injury & Repair,Materials Science (all) - 118 publications;Engineering (all) - 162 publications;Physics and Astronomy (all) - 247 publications;,multiple profiles; not affiliated with UBC
157,Ward,Lawrence,Djavad Mowafaghian Centre for Brain Health,7201849724,0000-0003-4431-5015,Learning Memory & Dementias,Medicine (all) - 57 publications;Neuroscience (all) - 85 publications;Psychology (all) - 140 publications;,multiple profiles; 
158,Weber,Alexander,Keck Medicine of USC,55697379800,,Brain Development & Neurodevelopmental Disorders,"Biochemistry, Genetics and Molecular Biology (all) - 2 publications;Health Professions  (all) - 46 publications;Medicine (all) - 235 publications;",multiple profiles; not affiliated with UBC
159,Wellington,Cheryl,The University of British Columbia,7004200421,,Brain Injury & Repair,"Neuroscience (all) - 62 publications;Medicine (all) - 161 publications;Biochemistry, Genetics and Molecular Biology (all) - 168 publications;",multiple profiles; 
160,Werker,Janet,The University of British Columbia,7004687515,,Brain Development & Neurodevelopmental Disorders,Social Sciences (all) - 55 publications;Neuroscience (all) - 70 publications;Psychology (all) - 143 publications;,
161,West,Christopher,University of Georgia,7402187736,,Brain Injury & Repair,"Immunology and Microbiology (all) - 25 publications;Medicine (all) - 56 publications;Biochemistry, Genetics and Molecular Biology (all) - 261 publications;",multiple profiles; not affiliated with UBC
162,Winstanley,Catharine,University of Cambridge,7005018303,,Mental Health & Addictions,"Pharmacology, Toxicology and Pharmaceutics (all) - 33 publications;Medicine (all) - 37 publications;Neuroscience (all) - 52 publications;",multiple profiles; not affiliated with UBC
163,Woodward,Todd,"University of British Columbia, Faculty of Medicine",7102848867,0000-0001-8083-0079,Mental Health & Addictions,Psychology (all) - 126 publications;Neuroscience (all) - 133 publications;Medicine (all) - 203 publications;,not affiliated with UBC
164,Yatham,Lakshmi,"University of British Columbia, Faculty of Medicine",35431694500,,Mental Health & Addictions,Psychology (all) - 125 publications;Neuroscience (all) - 203 publications;Medicine (all) - 637 publications;,not affiliated with UBC
